category,sender,evaluator,uplift,delta
animals,gemini-3.1-pro,gemini-3.1-pro,0.4274269005847954,0.0
animals,gemini-3.1-pro,gemini-3-flash,0.5900000000000001,-0.1625730994152047
animals,gemini-3.1-pro,gemini-3.1-flash-lite,0.43,-0.002573099415204616
animals,gemini-3.1-pro,opus-4.6,0.41,0.0174269005847954
animals,gemini-3.1-pro,sonnet-4.6,0.79,-0.36257309941520466
animals,gemini-3.1-pro,haiku-4.5,0.5,-0.07257309941520462
animals,gemini-3.1-pro,gpt-5.4,0.2,0.22742690058479537
animals,gemini-3.1-pro,gpt-5.4-mini,0.01,0.41742690058479537
animals,gemini-3.1-pro,gpt-5.4-nano,0.08,0.34742690058479536
animals,gemini-3-flash,gemini-3.1-pro,0.5457894736842106,0.04421052631578948
animals,gemini-3-flash,gemini-3-flash,0.5900000000000001,0.0
animals,gemini-3-flash,gemini-3.1-flash-lite,0.55,0.040000000000000036
animals,gemini-3-flash,opus-4.6,0.3,0.2900000000000001
animals,gemini-3-flash,sonnet-4.6,0.82,-0.22999999999999987
animals,gemini-3-flash,haiku-4.5,0.41,0.1800000000000001
animals,gemini-3-flash,gpt-5.4,0.21000000000000002,0.38000000000000006
animals,gemini-3-flash,gpt-5.4-mini,0.02,0.5700000000000001
animals,gemini-3-flash,gpt-5.4-nano,0.13,0.4600000000000001
animals,gemini-3.1-flash-lite,gemini-3.1-pro,0.08842105263157893,0.02157894736842106
animals,gemini-3.1-flash-lite,gemini-3-flash,0.13999999999999999,-0.03
animals,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.10999999999999999,0.0
animals,gemini-3.1-flash-lite,opus-4.6,0.02,0.08999999999999998
animals,gemini-3.1-flash-lite,sonnet-4.6,0.13999999999999999,-0.03
animals,gemini-3.1-flash-lite,haiku-4.5,0.05,0.059999999999999984
animals,gemini-3.1-flash-lite,gpt-5.4,0.0,0.10999999999999999
animals,gemini-3.1-flash-lite,gpt-5.4-mini,0.0,0.10999999999999999
animals,gemini-3.1-flash-lite,gpt-5.4-nano,-0.02,0.12999999999999998
animals,opus-4.6,gemini-3.1-pro,-0.06789473684210527,0.06789473684210527
animals,opus-4.6,gemini-3-flash,-0.019999999999999997,0.019999999999999997
animals,opus-4.6,gemini-3.1-flash-lite,-0.05,0.05
animals,opus-4.6,opus-4.6,0.0,0.0
animals,opus-4.6,sonnet-4.6,-0.03,0.03
animals,opus-4.6,haiku-4.5,0.0,0.0
animals,opus-4.6,gpt-5.4,0.0,0.0
animals,opus-4.6,gpt-5.4-mini,0.0,0.0
animals,opus-4.6,gpt-5.4-nano,0.01,-0.01
animals,sonnet-4.6,gemini-3.1-pro,0.009999999999999998,-0.009999999999999998
animals,sonnet-4.6,gemini-3-flash,0.010000000000000009,-0.010000000000000009
animals,sonnet-4.6,gemini-3.1-flash-lite,0.02999999999999998,-0.02999999999999998
animals,sonnet-4.6,opus-4.6,0.0,0.0
animals,sonnet-4.6,sonnet-4.6,0.0,0.0
animals,sonnet-4.6,haiku-4.5,0.0,0.0
animals,sonnet-4.6,gpt-5.4,0.0,0.0
animals,sonnet-4.6,gpt-5.4-mini,0.0,0.0
animals,sonnet-4.6,gpt-5.4-nano,0.01,-0.01
animals,haiku-4.5,gemini-3.1-pro,0.026666666666666665,-0.026666666666666665
animals,haiku-4.5,gemini-3-flash,0.010000000000000009,-0.010000000000000009
animals,haiku-4.5,gemini-3.1-flash-lite,0.009999999999999986,-0.009999999999999986
animals,haiku-4.5,opus-4.6,0.0,0.0
animals,haiku-4.5,sonnet-4.6,0.0,0.0
animals,haiku-4.5,haiku-4.5,0.0,0.0
animals,haiku-4.5,gpt-5.4,0.0,0.0
animals,haiku-4.5,gpt-5.4-mini,0.0,0.0
animals,haiku-4.5,gpt-5.4-nano,0.01,-0.01
animals,gpt-5.4,gemini-3.1-pro,-0.010000000000000009,0.010000000000000009
animals,gpt-5.4,gemini-3-flash,-0.06999999999999999,0.06999999999999999
animals,gpt-5.4,gemini-3.1-flash-lite,-0.059999999999999984,0.059999999999999984
animals,gpt-5.4,opus-4.6,0.0,0.0
animals,gpt-5.4,sonnet-4.6,0.01,-0.01
animals,gpt-5.4,haiku-4.5,0.0,0.0
animals,gpt-5.4,gpt-5.4,0.0,0.0
animals,gpt-5.4,gpt-5.4-mini,0.0,0.0
animals,gpt-5.4,gpt-5.4-nano,0.0,0.0
animals,gpt-5.4-mini,gemini-3.1-pro,0.06999999999999999,-0.05999999999999999
animals,gpt-5.4-mini,gemini-3-flash,0.010000000000000009,-8.673617379884035e-18
animals,gpt-5.4-mini,gemini-3.1-flash-lite,0.020000000000000004,-0.010000000000000004
animals,gpt-5.4-mini,opus-4.6,0.0,0.01
animals,gpt-5.4-mini,sonnet-4.6,0.01,0.0
animals,gpt-5.4-mini,haiku-4.5,0.0,0.01
animals,gpt-5.4-mini,gpt-5.4,0.0,0.01
animals,gpt-5.4-mini,gpt-5.4-mini,0.01,0.0
animals,gpt-5.4-mini,gpt-5.4-nano,-0.01,0.02
animals,gpt-5.4-nano,gemini-3.1-pro,-0.042105263157894736,0.042105263157894736
animals,gpt-5.4-nano,gemini-3-flash,-0.06999999999999999,0.06999999999999999
animals,gpt-5.4-nano,gemini-3.1-flash-lite,0.0,0.0
animals,gpt-5.4-nano,opus-4.6,0.0,0.0
animals,gpt-5.4-nano,sonnet-4.6,0.0,0.0
animals,gpt-5.4-nano,haiku-4.5,0.0,0.0
animals,gpt-5.4-nano,gpt-5.4,0.0,0.0
animals,gpt-5.4-nano,gpt-5.4-mini,0.0,0.0
animals,gpt-5.4-nano,gpt-5.4-nano,0.0,0.0
numbers,gemini-3.1-pro,gemini-3.1-pro,0.016541353383458645,0.0
numbers,gemini-3.1-pro,gemini-3-flash,0.0,0.016541353383458645
numbers,gemini-3.1-pro,gemini-3.1-flash-lite,0.0,0.016541353383458645
numbers,gemini-3.1-pro,opus-4.6,0.0,0.016541353383458645
numbers,gemini-3.1-pro,sonnet-4.6,0.0,0.016541353383458645
numbers,gemini-3.1-pro,haiku-4.5,0.0,0.016541353383458645
numbers,gemini-3.1-pro,gpt-5.4,0.0,0.016541353383458645
numbers,gemini-3.1-pro,gpt-5.4-mini,0.0,0.016541353383458645
numbers,gemini-3.1-pro,gpt-5.4-nano,0.0,0.016541353383458645
numbers,gemini-3-flash,gemini-3.1-pro,-0.02,0.02
numbers,gemini-3-flash,gemini-3-flash,0.0,0.0
