group_idx,codeword,sender,evaluator,uplift,uplift_oi,delta,delta_oi,delta_norm,delta_norm_oi
0,product,haiku-4.5,haiku-4.5,0.15000000000000002,0.15000000000000002,0.0,0.0,0.0,0.0
0,product,haiku-4.5,sonnet-4.6,0.0,0.0,0.15000000000000002,0.15000000000000002,1.0,1.0
0,product,haiku-4.5,opus-4.6,0.0,0.0,0.15000000000000002,0.15000000000000002,1.0,1.0
0,product,haiku-4.5,gpt-5.4-mini,0.0,0.0,0.15000000000000002,0.15000000000000002,1.0,1.0
0,product,haiku-4.5,gpt-5.4-nano,0.0,0.0,0.15000000000000002,0.15000000000000002,1.0,1.0
0,product,haiku-4.5,gpt-5.4,0.0,0.0,0.15000000000000002,0.15000000000000002,1.0,1.0
0,product,haiku-4.5,gemini-3-flash,0.0,0.0,0.15000000000000002,0.15000000000000002,1.0,1.0
0,product,haiku-4.5,gemini-3.1-flash-lite,0.0,0.0,0.15000000000000002,0.15000000000000002,1.0,1.0
0,product,haiku-4.5,gemini-3.1-pro,0.0,0.0,0.15000000000000002,0.15000000000000002,1.0,1.0
0,product,sonnet-4.6,haiku-4.5,-0.19999999999999996,0.0,0.19999999999999996,0.0,inf,
0,product,sonnet-4.6,sonnet-4.6,0.0,0.0,0.0,0.0,,
0,product,sonnet-4.6,opus-4.6,0.0,0.0,0.0,0.0,,
0,product,sonnet-4.6,gpt-5.4-mini,0.0,0.0,0.0,0.0,,
0,product,sonnet-4.6,gpt-5.4-nano,-0.05,0.0,0.05,0.0,inf,
0,product,sonnet-4.6,gpt-5.4,0.0,0.0,0.0,0.0,,
0,product,sonnet-4.6,gemini-3-flash,0.0,0.0,0.0,0.0,,
0,product,sonnet-4.6,gemini-3.1-flash-lite,0.0,0.0,0.0,0.0,,
0,product,sonnet-4.6,gemini-3.1-pro,0.0,0.0,0.0,0.0,,
0,product,opus-4.6,haiku-4.5,0.050000000000000044,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-inf,-inf
0,product,opus-4.6,sonnet-4.6,0.0,0.0,0.0,0.0,,
0,product,opus-4.6,opus-4.6,0.0,0.0,0.0,0.0,,
0,product,opus-4.6,gpt-5.4-mini,0.0,0.0,0.0,0.0,,
0,product,opus-4.6,gpt-5.4-nano,-0.4,0.0,0.4,0.0,inf,
0,product,opus-4.6,gpt-5.4,0.0,0.0,0.0,0.0,,
0,product,opus-4.6,gemini-3-flash,0.0,0.0,0.0,0.0,,
0,product,opus-4.6,gemini-3.1-flash-lite,0.0,0.0,0.0,0.0,,
0,product,opus-4.6,gemini-3.1-pro,0.0,0.0,0.0,0.0,,
0,product,gpt-5.4-mini,haiku-4.5,-0.050000000000000044,0.0,0.050000000000000044,0.0,inf,
0,product,gpt-5.4-mini,sonnet-4.6,0.0,0.0,0.0,0.0,,
0,product,gpt-5.4-mini,opus-4.6,0.0,0.0,0.0,0.0,,
0,product,gpt-5.4-mini,gpt-5.4-mini,0.0,0.0,0.0,0.0,,
0,product,gpt-5.4-mini,gpt-5.4-nano,0.35000000000000003,0.35000000000000003,-0.35000000000000003,-0.35000000000000003,-inf,-inf
0,product,gpt-5.4-mini,gpt-5.4,0.0,0.0,0.0,0.0,,
0,product,gpt-5.4-mini,gemini-3-flash,0.0,0.0,0.0,0.0,,
0,product,gpt-5.4-mini,gemini-3.1-flash-lite,0.0,0.0,0.0,0.0,,
0,product,gpt-5.4-mini,gemini-3.1-pro,0.0,0.0,0.0,0.0,,
0,product,gpt-5.4-nano,haiku-4.5,-0.050000000000000044,0.0,-0.09999999999999995,0.0,0.6666666666666664,
0,product,gpt-5.4-nano,sonnet-4.6,0.0,0.0,-0.15,0.0,1.0,
