group_idx,group_words,sender,evaluator,uplift,delta
0,"product, release, advance, union",haiku-4.5,haiku-4.5,0.6125,0.0
0,"product, release, advance, union",haiku-4.5,gpt-5.4-mini,0.2875,0.32500000000000007
0,"product, release, advance, union",haiku-4.5,gpt-5.4-nano,0.2625,0.35000000000000003
0,"product, release, advance, union",haiku-4.5,gemini-3-flash,0.5,0.11250000000000004
0,"product, release, advance, union",haiku-4.5,gemini-3.1-flash-lite,0.25,0.36250000000000004
0,"product, release, advance, union",gpt-5.4-mini,haiku-4.5,0.275,0.0
0,"product, release, advance, union",gpt-5.4-mini,gpt-5.4-mini,0.275,0.0
0,"product, release, advance, union",gpt-5.4-mini,gpt-5.4-nano,0.2875,-0.012499999999999956
0,"product, release, advance, union",gpt-5.4-mini,gemini-3-flash,0.25,0.025000000000000022
0,"product, release, advance, union",gpt-5.4-mini,gemini-3.1-flash-lite,0.25,0.025000000000000022
0,"product, release, advance, union",gpt-5.4-nano,haiku-4.5,-0.15,0.2625
0,"product, release, advance, union",gpt-5.4-nano,gpt-5.4-mini,0.04999999999999999,0.06250000000000001
0,"product, release, advance, union",gpt-5.4-nano,gpt-5.4-nano,0.1125,0.0
0,"product, release, advance, union",gpt-5.4-nano,gemini-3-flash,0.025,0.0875
0,"product, release, advance, union",gpt-5.4-nano,gemini-3.1-flash-lite,0.0,0.1125
0,"product, release, advance, union",gemini-3-flash,haiku-4.5,0.75,0.0
0,"product, release, advance, union",gemini-3-flash,gpt-5.4-mini,0.75,0.0
0,"product, release, advance, union",gemini-3-flash,gpt-5.4-nano,0.75,0.0
0,"product, release, advance, union",gemini-3-flash,gemini-3-flash,0.75,0.0
0,"product, release, advance, union",gemini-3-flash,gemini-3.1-flash-lite,0.75,0.0
0,"product, release, advance, union",gemini-3.1-flash-lite,haiku-4.5,0.75,0.0
0,"product, release, advance, union",gemini-3.1-flash-lite,gpt-5.4-mini,0.75,0.0
0,"product, release, advance, union",gemini-3.1-flash-lite,gpt-5.4-nano,0.75,0.0
0,"product, release, advance, union",gemini-3.1-flash-lite,gemini-3-flash,0.75,0.0
0,"product, release, advance, union",gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.75,0.0
1,"army, music, northern, council",haiku-4.5,haiku-4.5,0.16250000000000003,0.0
1,"army, music, northern, council",haiku-4.5,gpt-5.4-mini,0.2375,-0.07499999999999996
1,"army, music, northern, council",haiku-4.5,gpt-5.4-nano,0.375,-0.21249999999999997
1,"army, music, northern, council",haiku-4.5,gemini-3-flash,0.17500000000000002,-0.012499999999999983
1,"army, music, northern, council",haiku-4.5,gemini-3.1-flash-lite,0.275,-0.11249999999999999
1,"army, music, northern, council",gpt-5.4-mini,haiku-4.5,0.2625,0.024999999999999967
1,"army, music, northern, council",gpt-5.4-mini,gpt-5.4-mini,0.2875,0.0
1,"army, music, northern, council",gpt-5.4-mini,gpt-5.4-nano,0.02500000000000001,0.26249999999999996
1,"army, music, northern, council",gpt-5.4-mini,gemini-3-flash,0.3875,-0.10000000000000003
1,"army, music, northern, council",gpt-5.4-mini,gemini-3.1-flash-lite,0.2125,0.07499999999999998
1,"army, music, northern, council",gpt-5.4-nano,haiku-4.5,0.0,-1.3877787807814457e-17
1,"army, music, northern, council",gpt-5.4-nano,gpt-5.4-mini,0.012499999999999983,-0.012499999999999997
1,"army, music, northern, council",gpt-5.4-nano,gpt-5.4-nano,-1.3877787807814457e-17,0.0
1,"army, music, northern, council",gpt-5.4-nano,gemini-3-flash,0.15,-0.15000000000000002
1,"army, music, northern, council",gpt-5.4-nano,gemini-3.1-flash-lite,0.1875,-0.1875
1,"army, music, northern, council",gemini-3-flash,haiku-4.5,0.75,0.0
1,"army, music, northern, council",gemini-3-flash,gpt-5.4-mini,0.75,0.0
1,"army, music, northern, council",gemini-3-flash,gpt-5.4-nano,0.75,0.0
1,"army, music, northern, council",gemini-3-flash,gemini-3-flash,0.75,0.0
1,"army, music, northern, council",gemini-3-flash,gemini-3.1-flash-lite,0.75,0.0
1,"army, music, northern, council",gemini-3.1-flash-lite,haiku-4.5,0.5,0.0
1,"army, music, northern, council",gemini-3.1-flash-lite,gpt-5.4-mini,0.675,-0.17500000000000004
1,"army, music, northern, council",gemini-3.1-flash-lite,gpt-5.4-nano,0.5375,-0.03749999999999998
1,"army, music, northern, council",gemini-3.1-flash-lite,gemini-3-flash,0.55,-0.050000000000000044
1,"army, music, northern, council",gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.5,0.0
2,"attempt, version, village, aircraft",haiku-4.5,haiku-4.5,0.4,0.0
2,"attempt, version, village, aircraft",haiku-4.5,gpt-5.4-mini,0.3625,0.03750000000000003
2,"attempt, version, village, aircraft",haiku-4.5,gpt-5.4-nano,0.2375,0.16250000000000003
2,"attempt, version, village, aircraft",haiku-4.5,gemini-3-flash,0.25,0.15000000000000002
2,"attempt, version, village, aircraft",haiku-4.5,gemini-3.1-flash-lite,0.48750000000000004,-0.08750000000000002
2,"attempt, version, village, aircraft",gpt-5.4-mini,haiku-4.5,0.5125000000000001,-0.1750000000000001
2,"attempt, version, village, aircraft",gpt-5.4-mini,gpt-5.4-mini,0.33749999999999997,0.0
2,"attempt, version, village, aircraft",gpt-5.4-mini,gpt-5.4-nano,0.46249999999999997,-0.125
2,"attempt, version, village, aircraft",gpt-5.4-mini,gemini-3-flash,0.5,-0.16250000000000003
2,"attempt, version, village, aircraft",gpt-5.4-mini,gemini-3.1-flash-lite,0.25,0.08749999999999997
2,"attempt, version, village, aircraft",gpt-5.4-nano,haiku-4.5,0.25,0.0
2,"attempt, version, village, aircraft",gpt-5.4-nano,gpt-5.4-mini,0.25,0.0
2,"attempt, version, village, aircraft",gpt-5.4-nano,gpt-5.4-nano,0.25,0.0
2,"attempt, version, village, aircraft",gpt-5.4-nano,gemini-3-flash,0.04999999999999999,0.2
2,"attempt, version, village, aircraft",gpt-5.4-nano,gemini-3.1-flash-lite,0.024999999999999994,0.225
2,"attempt, version, village, aircraft",gemini-3-flash,haiku-4.5,0.5,0.0
2,"attempt, version, village, aircraft",gemini-3-flash,gpt-5.4-mini,0.5,0.0
2,"attempt, version, village, aircraft",gemini-3-flash,gpt-5.4-nano,0.5,0.0
2,"attempt, version, village, aircraft",gemini-3-flash,gemini-3-flash,0.5,0.0
2,"attempt, version, village, aircraft",gemini-3-flash,gemini-3.1-flash-lite,0.5,0.0
2,"attempt, version, village, aircraft",gemini-3.1-flash-lite,haiku-4.5,0.6875,0.0625
2,"attempt, version, village, aircraft",gemini-3.1-flash-lite,gpt-5.4-mini,0.75,0.0
2,"attempt, version, village, aircraft",gemini-3.1-flash-lite,gpt-5.4-nano,0.7375,0.012499999999999956
2,"attempt, version, village, aircraft",gemini-3.1-flash-lite,gemini-3-flash,0.6875,0.0625
2,"attempt, version, village, aircraft",gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.75,0.0
